from_id,relationship,to_id,notes
AAP_TERM,RECOMMENDS,AAP_TERM_REC_001,
AAP_TERM_REC_001,SUPPORTED_BY,AAP_TERM_T01,page 2
Chorioamnionitis,HAS_RISK_FACTOR,MaternalGBSColonization,per AAP_TERM_T01
Chorioamnionitis,HAS_RISK_FACTOR,ProlongedROM,per AAP_TERM_T01
Chorioamnionitis,HAS_RISK_FACTOR,ClinicalChorioamnionitis,per AAP_TERM_T01
Chorioamnionitis,HAS_RISK_FACTOR,InadequateIntrapartumAntibiotics,per AAP_TERM_T01
Chorioamnionitis,HAS_RISK_FACTOR,Prematurity,per AAP_TERM_T01
AAP_TERM,RECOMMENDS,AAP_TERM_REC_002,
AAP_TERM_REC_002,SUPPORTED_BY,AAP_TERM_T02,page 3
AAP_TERM,RECOMMENDS,AAP_TERM_REC_003,
AAP_TERM_REC_003,SUPPORTED_BY,AAP_TERM_T03,page 3
AAP_TERM_REC_003,REQUIRES,BloodCulture,
AAP_TERM,RECOMMENDS,AAP_TERM_REC_004,
AAP_TERM_REC_004,SUPPORTED_BY,AAP_TERM_T04,page 4
AAP_TERM,RECOMMENDS,AAP_TERM_REC_005,
AAP_TERM_REC_005,SUPPORTED_BY,AAP_TERM_T05,page 4
AAP_TERM_REC_005,REQUIRES,BloodCulture,
AAP_TERM,RECOMMENDS,AAP_TERM_REC_006,
AAP_TERM_REC_006,SUPPORTED_BY,AAP_TERM_T06,page 5
AAP_TERM_REC_006,REQUIRES,LumbarPuncture,
AAP_TERM,RECOMMENDS,AAP_TERM_REC_007,
AAP_TERM_REC_007,SUPPORTED_BY,AAP_TERM_T07,page 5
AAP_TERM_REC_007,REQUIRES,FullBloodCount,
AAP_TERM_REC_007,REQUIRES,ITRatio,
AAP_TERM_REC_007,REQUIRES,PlateletCount,
AAP_TERM,RECOMMENDS,AAP_TERM_REC_008,
AAP_TERM_REC_008,SUPPORTED_BY,AAP_TERM_T08,page 5
AAP_TERM_REC_008,REQUIRES,CRP,
AAP_TERM_REC_008,REQUIRES,Procalcitonin,
AAP_TERM,RECOMMENDS,AAP_TERM_REC_009,
AAP_TERM_REC_009,SUPPORTED_BY,AAP_TERM_T09,page 6
AAP_TERM_REC_009,REQUIRES,BloodCulture,
AAP_TERM_REC_009,REQUIRES,LumbarPuncture,
AAP_TERM,RECOMMENDS,AAP_TERM_REC_010,
AAP_TERM_REC_010,SUPPORTED_BY,AAP_TERM_T10,page 6
Ampicillin,ACTIVE_AGAINST,GroupBStreptococcus,per AAP_TERM_T10
Ampicillin,ACTIVE_AGAINST,EscherichiaColi,per AAP_TERM_T10
Ampicillin,ACTIVE_AGAINST,ListeriaMonocytogenes,per AAP_TERM_T10
Gentamicin,ACTIVE_AGAINST,GroupBStreptococcus,per AAP_TERM_T10
Gentamicin,ACTIVE_AGAINST,EscherichiaColi,per AAP_TERM_T10
Gentamicin,ACTIVE_AGAINST,ListeriaMonocytogenes,per AAP_TERM_T10
AAP_TERM,RECOMMENDS,AAP_TERM_REC_011,
AAP_TERM_REC_011,SUPPORTED_BY,AAP_TERM_T11,page 6
AAP_TERM,RECOMMENDS,AAP_TERM_REC_012,
AAP_TERM_REC_012,SUPPORTED_BY,AAP_TERM_T12,page 6
AAP_TERM_REC_012,MONITOR_WITH,BloodCulture,
AAP_TERM_REC_012,STOP_IF,SuspectedSepsis,"blood culture sterile at 36-48h incubation, no site-specific infection evidence"
AAP_TERM,RECOMMENDS,AAP_TERM_REC_013,
AAP_TERM_REC_013,SUPPORTED_BY,AAP_TERM_T13,page 6
AAP_TERM_REC_013,REQUIRES,LumbarPuncture,
AAP_TERM_REC_013,REQUIRES,BloodCulture,
AAP_TERM,RECOMMENDS,AAP_TERM_REC_014,
AAP_TERM_REC_014,SUPPORTED_BY,AAP_TERM_T14,page 6
