from_id,relationship,to_id,notes
NICE,RECOMMENDS,NICE_REC_001,
NICE_REC_001,SUPPORTED_BY,NICE_S01,page 15
NICE,RECOMMENDS,NICE_REC_002,
NICE_REC_002,SUPPORTED_BY,NICE_S02,page 15
NICE,RECOMMENDS,NICE_REC_003,
NICE_REC_003,SUPPORTED_BY,NICE_S03,page 16
NICE,RECOMMENDS,NICE_REC_004,
NICE_REC_004,SUPPORTED_BY,NICE_S04,page 17
NICE,RECOMMENDS,NICE_REC_005,
NICE_REC_005,SUPPORTED_BY,NICE_S05,page 17
NICE,RECOMMENDS,NICE_REC_006,
NICE_REC_006,SUPPORTED_BY,NICE_S06,page 18
NICE,RECOMMENDS,NICE_REC_007,
NICE_REC_007,SUPPORTED_BY,NICE_S07,page 20
NICE,RECOMMENDS,NICE_REC_008,
NICE_REC_008,SUPPORTED_BY,NICE_S08,page 21
NICE,RECOMMENDS,NICE_REC_009,
NICE_REC_009,SUPPORTED_BY,NICE_S09,page 22
NICE,RECOMMENDS,NICE_REC_010,
NICE_REC_010,SUPPORTED_BY,NICE_S10,page 25
NICE,RECOMMENDS,NICE_REC_011,
NICE_REC_011,SUPPORTED_BY,NICE_S11,page 25
NICE,RECOMMENDS,NICE_REC_012,
NICE_REC_012,SUPPORTED_BY,NICE_S12,page 28
NICE,RECOMMENDS,NICE_REC_013,
NICE_REC_013,SUPPORTED_BY,NICE_S13,page 29
NICE,RECOMMENDS,NICE_REC_014,
NICE_REC_014,SUPPORTED_BY,NICE_S14,page 29
NICE,RECOMMENDS,NICE_REC_015,
NICE_REC_015,SUPPORTED_BY,NICE_S15,page 30
NICE,RECOMMENDS,NICE_REC_016,
NICE_REC_016,SUPPORTED_BY,NICE_S16,page 32
NICE,RECOMMENDS,NICE_REC_017,
NICE_REC_017,SUPPORTED_BY,NICE_S17,page 34
NICE,RECOMMENDS,NICE_REC_018,
NICE_REC_018,SUPPORTED_BY,NICE_S18,page 35
NICE,RECOMMENDS,NICE_REC_019,
NICE_REC_019,SUPPORTED_BY,NICE_S19,page 36
NICE,RECOMMENDS,NICE_REC_020,
NICE_REC_020,SUPPORTED_BY,NICE_S20,page 37
NICE,RECOMMENDS,NICE_REC_021,
NICE_REC_021,SUPPORTED_BY,NICE_S21,page 37
NICE,RECOMMENDS,NICE_REC_022,
NICE_REC_022,SUPPORTED_BY,NICE_S22,page 38
NICE,RECOMMENDS,NICE_REC_023,
NICE_REC_023,SUPPORTED_BY,NICE_S23,page 40
NICE,RECOMMENDS,NICE_REC_024,
NICE_REC_024,SUPPORTED_BY,NICE_S24,page 41
NICE,RECOMMENDS,NICE_REC_025,
NICE_REC_025,SUPPORTED_BY,NICE_S25,page 41
NICE,RECOMMENDS,NICE_REC_026,
NICE_REC_026,SUPPORTED_BY,NICE_S26,page 43
NICE,RECOMMENDS,NICE_REC_027,
NICE_REC_027,SUPPORTED_BY,NICE_S27,page 44
NICE,RECOMMENDS,NICE_REC_028,
NICE_REC_028,SUPPORTED_BY,NICE_S28,page 44
NICE,RECOMMENDS,NICE_REC_029,
NICE_REC_029,SUPPORTED_BY,NICE_S29,page 45
NICE,RECOMMENDS,NICE_REC_030,
NICE_REC_030,SUPPORTED_BY,NICE_S30,page 51
NICE,RECOMMENDS,NICE_REC_031,
NICE_REC_031,SUPPORTED_BY,NICE_S31,page 51
NICE,RECOMMENDS,NICE_REC_032,
NICE_REC_032,SUPPORTED_BY,NICE_S32,page 53
Benzylpenicillin,HAS_DOSE,NICE_DOSE_001,early-onset empirical regimen
Gentamicin,HAS_DOSE,NICE_DOSE_002,early-onset empirical regimen
Benzylpenicillin,HAS_DOSE,NICE_DOSE_003,GBS meningitis regimen
Gentamicin,HAS_DOSE,NICE_DOSE_004,GBS meningitis regimen
Benzylpenicillin,TREATS,EarlyOnsetSepsis,per NICE_REC_002
Gentamicin,TREATS,EarlyOnsetSepsis,per NICE_REC_002
Metronidazole,TREATS,Chorioamnionitis,per NICE_REC_002
Cefotaxime,TREATS,Chorioamnionitis,per NICE_REC_003
Vancomycin,TREATS,Chorioamnionitis,per NICE_REC_003
Flucloxacillin,TREATS,LateOnsetSepsis,per NICE_REC_023
Gentamicin,TREATS,LateOnsetSepsis,per NICE_REC_023
Metronidazole,TREATS,LateOnsetSepsis,per NICE_REC_023
Amoxicillin,TREATS,EarlyOnsetSepsis,per NICE_REC_022
Amoxicillin,TREATS,Meningitis,per NICE_REC_027
Cefotaxime,TREATS,Meningitis,per NICE_REC_027
Benzylpenicillin,TREATS,Meningitis,per NICE_REC_028
Gentamicin,TREATS,Meningitis,per NICE_REC_028
Flucloxacillin,TREATS,EarlyOnsetSepsis,per NICE_REC_018
Gentamicin,TREATS,EarlyOnsetSepsis,per NICE_REC_018
Benzylpenicillin,TREATS,GroupBStreptococcus,"CSF-culture-confirmed GBS meningitis, per NICE_REC_028"
Amoxicillin,TREATS,ListeriaMonocytogenes,"culture-confirmed Listeria, per NICE_REC_028"
EarlyOnsetSepsis,HAS_RISK_FACTOR,MaternalGBSColonization,per NICE_REC_006
EarlyOnsetSepsis,HAS_RISK_FACTOR,PreviousInfantGBSDisease,per NICE_REC_006
EarlyOnsetSepsis,HAS_RISK_FACTOR,Prematurity,per NICE_REC_006
EarlyOnsetSepsis,HAS_RISK_FACTOR,ProlongedROM,per NICE_REC_006
EarlyOnsetSepsis,HAS_RISK_FACTOR,ClinicalChorioamnionitis,per NICE_REC_006
LateOnsetSepsis,HAS_RISK_FACTOR,Prematurity,per NICE_REC_010
LateOnsetSepsis,HAS_RISK_FACTOR,Prematurity,per NICE_REC_026
EarlyOnsetSepsis,HAS_SYMPTOM,Apnea,per NICE_REC_007
EarlyOnsetSepsis,HAS_SYMPTOM,Seizures,per NICE_REC_007
EarlyOnsetSepsis,HAS_SYMPTOM,Hypotension,per NICE_REC_007
