from_id,relationship,to_id,notes
WHO,RECOMMENDS,WHO_REC_001,
WHO,RECOMMENDS,WHO_REC_002,
WHO,RECOMMENDS,WHO_REC_003,
WHO,RECOMMENDS,WHO_REC_004,
WHO,RECOMMENDS,WHO_REC_005,
WHO,RECOMMENDS,WHO_REC_006,
WHO,RECOMMENDS,WHO_REC_007,
WHO,RECOMMENDS,WHO_REC_008,
WHO,RECOMMENDS,WHO_REC_009,
WHO,RECOMMENDS,WHO_REC_010,
WHO,RECOMMENDS,WHO_REC_011,
WHO,RECOMMENDS,WHO_REC_012,
WHO,RECOMMENDS,WHO_REC_013,
WHO_REC_001,SUPPORTED_BY,WHO_S01,page 18
WHO_REC_002,SUPPORTED_BY,WHO_S02,page 22
WHO_REC_003,SUPPORTED_BY,WHO_S02_b,page 22
WHO_REC_003,PRESCRIBES,WHO_DOSE_001,ampicillin 0-7d band
WHO_REC_003,PRESCRIBES,WHO_DOSE_002,ampicillin >7d band
WHO_REC_003,PRESCRIBES,WHO_DOSE_003,gentamicin 0-7d band; total duration >=10 days
WHO_REC_003,PRESCRIBES,WHO_DOSE_004,gentamicin >7d band; total duration >=10 days
WHO_REC_004,SUPPORTED_BY,WHO_S03,page 25 (regimen 4)
WHO_REC_004,PRESCRIBES,WHO_DOSE_005,amoxicillin 0-7d band
WHO_REC_004,PRESCRIBES,WHO_DOSE_006,amoxicillin >7d band
WHO_REC_004,PRESCRIBES,WHO_DOSE_003,gentamicin 0-7d band; total duration >=7 days
WHO_REC_004,PRESCRIBES,WHO_DOSE_004,gentamicin >7d band; total duration >=7 days
WHO_REC_005,SUPPORTED_BY,WHO_S03_b,page 25 (regimen 3
WHO_REC_005,PRESCRIBES,WHO_DOSE_005,amoxicillin 0-7d band
WHO_REC_005,PRESCRIBES,WHO_DOSE_006,amoxicillin >7d band
WHO_REC_005,PRESCRIBES,WHO_DOSE_003,gentamicin 0-7d band; total duration 2 days only
WHO_REC_005,PRESCRIBES,WHO_DOSE_004,gentamicin >7d band; total duration 2 days only
