chunk_id,source,page,section,subsection,recommendation_id,chunk_type,chars,chunk_text
WHO_pg1_3-recommendations-and-ev_chunk1,WHO,0,"3.	Recommendations and evidence",,,paragraph,887,"Source: WHO
Section: 3.	Recommendations and evidence

This guideline includes 11 recommendations for antibiotic management of infants with serious bacterial infection (SBI), from birth to 59 days of age unless otherwise indicated. They are summarized in Table 1 in the executive summary and presented in detail in this chapter. Of the recommendations, four are new and seven are updated. There are 10 strong recommendations for all infants and one recommendation that is conditional on particular contexts or conditions. No recommendation was made for one intervention (section B.1). Six recommendations are for non-hospital (i.e.
community-based/outpatient/primary health care [PHC]) settings (presented in section A of this chapter) and five are for hospital settings (section B). The Guideline Development Group (GDG) provided remarks related to all the recommendations, where needed."
WHO_pg1_3-recommendations-and-ev_chunk2,WHO,0,"3.	Recommendations and evidence",,,paragraph,647,"Source: WHO
Section: 3.	Recommendations and evidence

[PHC]) settings (presented in section A of this chapter) and five are for hospital settings (section B). The Guideline Development Group (GDG) provided remarks related to all the recommendations, where needed. Users of the guideline should refer to these remarks, which are presented prominently along with the recommendations in sections A and B of this chapter. The GDG also made remarks about cross-cutting issues that are important for all settings and recommendations, including clinical management, referral, risk groups, antimicrobial resistance (AMR), and antibiotic dosing (section C)"
WHO_pg2_remarks_chunk1,WHO,1,Remarks,,,paragraph,540,"Source: WHO
Section: Remarks

■The recommendation was based on two studies that recruited a total of 9284 infants aged 0–59 days from primary health care (PHC) clinics and other outpatient settings in Bangladesh, Bolivia (Plurinational State of), Ghana, India, Pakistan and South Africa. Both studies used physician judgement of possible sepsis as the reference standard. One included laboratory testing. Both studies assessed the 7-sign IMCI algorithm. Both studies assessed diagnoses by community health workers (CHWs) and health workers."
WHO_pg2_remarks_chunk2,WHO,1,Remarks,,,paragraph,643,"Source: WHO
Section: Remarks

Both studies assessed the 7-sign IMCI algorithm. Both studies assessed diagnoses by community health workers (CHWs) and health workers. ■Overall, the GDG considered that both the sensitivity and specificity of the WHO 7-sign IMCI algorithm were sufficient for the diagnosis of sepsis in young infants:
― aged 0–59 days: sensitivity 0.79 (95% CI: 0.77 to 0.82) and specificity 0.77 (95% CI: 0.76 to 0.78);
― aged 0–6 days: sensitivity 0.84 (95% CI: 0.81 to 0.87) and specificity 0.78 (95% CI: 0.76 to 0.79); and ― aged 7–59 days: sensitivity 0.74 (95% CI: 0.68 to 0.81) and specificity 0.79 (95% CI: 0.73 to 0.84)."
WHO_pg2_background-and-definitio_chunk1,WHO,1,Background and definitions,,,paragraph,659,"Source: WHO
Section: Background and definitions

Possible serious bacterial infection (PSBI) is defined by WHO as an illness with one or more of the following seven clinical signs: not feeding well or not able to feed at all, movement only when stimulated or no movement at all, high body temperature (≥ 38 °C), low body temperature (< 35.5 °C), severe chest indrawing, convulsions in infants aged 0–59 days or fast breathing (≥ 60 breaths per minute) in infants aged 0–6 days (see Table 1.1). In 2014, the IMCI programme was updated to include a “7-sign IMCI algorithm” with the signs listed in Table 1.1 to define the target population in need of treatment."
WHO_pg2_background-and-definitio_chunk2,WHO,1,Background and definitions,,,paragraph,855,"Source: WHO
Section: Background and definitions

In 2014, the IMCI programme was updated to include a “7-sign IMCI algorithm” with the signs listed in Table 1.1 to define the target population in need of treatment. This was done using a WHO guideline development process by a GDG, including a systematic review of six randomized controlled trials (RCTs) which compared home visits by a community health worker (CHW) to identify young infants with serious illness to no home visits (i.e.
the control group) in children 0–59 days old, and found a significant improvement in care seeking in the intervention arm compared with the control arm (relative risk [RR]: 1.35; 95% confidence interval [CI]: 1.15–1.58). However, diagnostic accuracy of the clinical signs was not specifically assessed in 2014 and there have been new studies published since that time."
WHO_pg3_overview_chunk1,WHO,2,Overview,,,paragraph,379,"Source: WHO
Section: Overview

Question: Among young infants aged 0–59 days with PSBI, in non-hospital settings, what is the diagnostic accuracy (sensitivity and specificity) of clinical sign-based algorithms of PSBIᵃ compared with a reference standard (culture-confirmed sepsis, physician judgement of sepsis, or mortality) in identifying infants who require treatment for PSBI?"
WHO_pg3_population-index-test-re_chunk1,WHO,2,"Population, index test, reference standard and diagnosis of interest (PIRD) details",,,paragraph,401,"Source: WHO
Section: Population, index test, reference standard and diagnosis of interest (PIRD) details

Population: Young infants aged 0–59 days with PSBI Index test: Clinical sign-based algorithms of PSBI ascertained by any cadre of health worker Reference standard: Sepsis diagnosis (culture-confirmed or physician judgement) or mortality Diagnosis of interest: Serious bacterial infections (SBIs)"
WHO_pg3_sources-and-characterist_chunk1,WHO,2,Sources and characteristics of studies,,,paragraph,964,"Source: WHO
Section: Sources and characteristics of studies

The diagnostic accuracy evidence was derived from a systematic review that identified 6701 studies in infants aged 0–59 days, of which 19 met inclusion criteria (59). All studies examined diagnostic accuracy at first presentation of suspected sepsis and assessed the potential need to initiate antibiotic therapy. None of the studies examined diagnostic accuracy after treatment to identify when antibiotics should be stopped. Twelve studies were identified that examined IMCI algorithms. Two of these studies specifically examined the 7-sign IMCI algorithm, including a total of 9284 infants who attended PHC clinics and other outpatient settings in Bangladesh, Bolivia (Plurinational State of), Ghana, India, Pakistan and South Africa (17, 60). Both studies used physician judgement of possible sepsis and the need for antibiotics as the reference standard. One study included laboratory testing (17)."
WHO_pg3_sources-and-characterist_chunk2,WHO,2,Sources and characteristics of studies,,,paragraph,361,"Source: WHO
Section: Sources and characteristics of studies

Both studies used physician judgement of possible sepsis and the need for antibiotics as the reference standard. One study included laboratory testing (17). Both studies assessed diagnoses by CHWs and health workers as the index test; the diagnoses were made using the 7-sign IMCI algorithm (17, 60)."
